wavelength;a_o;a_oz;a_wv;E_0
707;0;0.0181;0.4881;1398.1
708;0;0.0179;0.4131;1402.7
709;0;0.0176;0.2742;1405.4
710;0;0.0174;0.3369;1405
711;0;0.0171;0.3082;1395.6
712;0;0.017;0.1754;1379.4
713;0;0.0169;0.2085;1378.1
714;0;0.0167;0.291;1381.2
715;0;0.0167;0.4526;1361
716;0;0.0164;0.9062;1347.7
717;0;0.0161;2.9695;1370.2
718;0;0.0157;6.015;1357.2
719;0;0.0152;7.2994;1324.5
720;0;0.0147;8.7046;1330.4
721;0;0.0142;3.5903;1352.5
722;0;0.0138;1.082;1345.3
723;0;0.0133;1.7463;1349.1
724;0;0.0128;4.5334;1362.6
725;0;0.0126;4.3954;1357.1
726;0;0.0121;4.3092;1350
727;0;0.0119;4.3859;1354
728;0;0.0117;4.5816;1328.7
729;0;0.0112;3.0266;1306.3
730;0;0.011;3.8013;1314.5
731;0;0.0108;3.6657;1322.2
732;0;0.0106;2.2544;1323.7
733;0;0.0103;0.8711;1321.3
734;0;0.0103;0.5343;1326.1
735;0;0.0102;0.546;1325.6
736;0;0.0101;0.8717;1311
737;0;0.0101;0.739;1319.1
738;0;0.0101;0.4153;1304.9
739;0;0.0101;0.3437;1289.9
740;0;0.0101;0.1927;1286.5
741;0;0.0102;0.1026;1267.4
742;0;0.0103;0.0785;1260.5
743;0;0.0103;0.0445;1280.5
744;0;0.0106;0.0206;1284.9
745;0;0.0107;0.0141;1281.4
746;0;0.0108;0.0083;1283.3
747;0;0.0108;0.0065;1291.3
748;0;0.0108;0.0037;1287.5
749;0;0.0103;0.0019;1272.8
750;0;0.0099;0.0032;1264
751;0;0.0095;0.0038;1274.7
752;0;0.009;0.0013;1265.5
753;0;0.0086;0;1267.3
754;0;0.0079;0;1273.9
755;0;0.0075;0;1273.2
756;0;0.0073;0;1260.2
757;0;0.0069;0;1257.4
758;0.0011;0.0067;0;1248.4
759;0.769;0.0065;0;1248.2
760;18.873;0.0064;0;1261.8
761;35.521;0.0061;0;1244.6
762;9.3985;0.0063;0;1227.3
763;11.419;0.0066;0;1242.1
764;10.441;0.0066;0;1259.9
765;5.2177;0.0064;0;1238.2
766;2.0744;0.0064;0;1200.2
767;0.6542;0.0064;0;1198.9
768;0.1722;0.0064;0;1221.1
769;0.0593;0.0064;0;1236
770;0.0171;0.0064;0;1220.1
771;0.0038;0.0064;0;1211.7
772;0.0022;0.0066;0;1200.2
773;0.0016;0.0069;0;1211.5
774;0.0008;0.0071;0;1203.2
775;0;0.0073;0;1192.9
776;0;0.0076;0;1199.8
777;0;0.0078;0;1210.1
778;0;0.0078;0.0011;1204.1
779;0;0.0078;0.0017;1206.5
780;0;0.0078;0.0021;1198.4
781;0;0.0076;0.0012;1190.9
782;0;0.0074;0.0012;1195.2
783;0;0.0072;0.0019;1186.3
784;0;0.0067;0.0038;1181.2
785;0;0.0063;0.0117;1179.9
786;0;0.006;0.0264;1178.6
787;0;0.0058;0.0872;1175.6
788;0;0.0054;0.1397;1179.1
789;0;0.0053;0.3066;1178.7
790;0;0.0051;0.4204;1169.3
791;0;0.0049;0.3506;1156.6
792;0;0.0047;0.2944;1150
793;0;0.0044;0.209;1138.8
794;0;0.0043;0.0806;1122.3
795;0;0.0042;0.1206;1131.7
796;0;0.004;0.4291;1147.6
797;0;0.0039;0.422;1154.5
798;0;0.0039;0.1845;1154.5
799;0;0.0038;0.2191;1143.9
800;0;0.0037;0.3309;1138
801;0;0.0037;0.3821;1134.5
802;0;0.0037;0.3735;1135
803;0;0.0037;0.3826;1135.2
804;0;0.0037;0.2998;1124.4
805;0;0.0037;0.1905;1113.4
806;0;0.0039;0.1022;1118.9
807;0;0.0039;0.0991;1128.4
808;0;0.0042;0.122;1113.6
809;0;0.0044;0.1713;1103.9
810;0;0.0045;0.2357;1099.5
811;0;0.0047;0.3707;1106.9
812;0;0.0049;0.6326;1110.8
813;0;0.0051;0.9585;1110.8
814;0;0.0051;1.6124;1109.1
815;0;0.0054;2.0603;1104.3
816;0;0.0054;3.4814;1106
817;0;0.0054;3.8934;1090.9
818;0;0.0053;3.6678;1073.7
819;0;0.0051;3.223;1063.2
820;0;0.0049;1.7294;1058.9
821;0;0.0047;0.6278;1062.9
822;0;0.0043;1.5773;1067.6
823;0;0.0039;5.5125;1064.3
824;0;0.0037;2.4354;1061.3
825;0;0.0035;0.6699;1069.3
826;0;0.0031;0.7666;1077.1
827;0;0.0029;0.9162;1077.3
828;0;0.0027;1.7183;1071.7
829;0;0.0025;1.6228;1062
830;0;0.0024;1.1957;1052.6
831;0;0.0022;1.0617;1057.4
832;0;0.0022;1.0725;1045.4
833;0;0.002;0.8952;1032.2
834;0;0.002;0.6762;1026.7
835;0;0.002;0.3808;1035.3
836;0;0.002;0.4458;1043.7
837;0;0.002;0.4976;1050.1
838;0;0.002;0.3641;1036.1
839;0;0.002;0.3236;1031.2
840;0;0.002;0.2539;1027.8
841;0;0.002;0.3234;1040.7
842;0;0.002;0.2635;1033
843;0;0.002;0.1402;1021.8
844;0;0.002;0.0844;1013
845;0;0.0022;0.0664;1024
846;0;0.0022;0.0464;1020
847;0;0.0025;0.0316;1015.3
848;0;0.0026;0.0518;1029.8
849;0;0.0027;0.0614;989.27
850;0;0.0031;0.0657;946.32
851;0;0.0032;0.0925;949.53
852;0;0.0034;0.097;977.34
853;0;0.0036;0.0656;976.64
854;0;0.0037;0.0637;854.74
855;0;0.0034;0.0495;818.49
856;0;0.0034;0.0279;927.33
857;0;0.0032;0.0173;1035.5
858;0;0.0032;0.0131;996.53
859;0;0.003;0.0062;986.81
860;0;0.0027;0.0032;978.37
861;0;0.0026;0.0025;977.82
862;0;0.0022;0.0016;980.79
863;0;0.0021;0.0012;983.95
864;0;0.002;0.001;1033.7
865;0;0.0017;0.0001;940.48
866;0;0.0017;0;847.94
867;0;0.0015;0;839.98
868;0;0.0015;0;906.44
869;0;0.0012;0;973.05
870;0;0.0012;0.0004;942.9
871;0;0.0012;0.0006;957.06
872;0;0.0012;0;971.33
873;0;0.001;0.0005;969.75
874;0;0.001;0.0014;952.89
875;0;0.001;0.0016;936.5
876;0;0.001;0.0028;936.82
877;0;0.001;0.0038;946.46
878;0;0.001;0.0062;960.53
879;0;0.001;0.0091;938.19
880;0;0.001;0.0122;917.66
881;0;0.001;0.0161;925.42
882;0;0.001;0.0179;932.63
883;0;0.001;0.0182;938.75
884;0;0.0012;0.0168;941.41
885;0;0.0012;0.0214;926.8
886;0;0.0012;0.0385;912.32
887;0;0.0012;0.0346;904.28
888;0;0.0012;0.0336;922.55
889;0;0.0012;0.0286;940.86
890;0;0.0012;0.0382;943.82
891;0;0.0012;0.0596;930.99
892;0;0.0012;0.1362;922.14
893;0;0.0012;0.3963;913.77
894;0;0.0013;0.8766;902.8
895;0;0.0015;1.785;920.1
896;0;0.0015;3.5661;918.82
897;0;0.0015;5.8859;919.32
898;0;0.0015;7.1562;928.69
899;0;0.0015;10.1492;905.41
900;0;0.0015;10.7183;889.81
901;0;0.0015;11.1504;878.86
902;0;0.0014;11.4961;862.51
903;0;0.0012;6.9927;890.76
904;0;0.0012;3.0395;896.34
905;0;0.0012;2.1102;904.19
906;0;0.001;3.7063;892.81
907;0;0.001;8.0418;882.42
908;0;0.0008;10.8099;881.3
909;0;0.0007;10.9829;874.99
910;0;0.0007;10.9637;866.21
911;0;0.0007;8.8248;876.21
912;0;0.0004;8.3905;883.73
913;0;0;13.1413;883.35
914;0;0;12.0635;881.54
915;0;0;9.4041;882.7
916;0;0;10.0059;872.97
917;0;0;9.1041;862.45
918;0;0;8.0039;873.49
919;0;0;4.7173;863.96
920;0;0;2.8614;861.8
921;0;0;2.8523;841.19
922;0;0;2.9258;816.92
923;0;0;3.1483;827.09
924;0;0;4.4616;830.77
925;0;0;4.8755;830.34
926;0;0;4.4949;839.01
927;0;0;6.0472;847.78
928;0;0;9.721;848.9
929;0;0;13.8682;855.1
930;0;0;23.4801;846.27
931;0;0;39.6685;845.66
932;0;0;60.4978;846.18
933;0;0;87.6148;841.78
934;0;0;126.912;837.32
935;0;0;139.933;837.84
936;0;0;123.2963;835.13
937;0;0;124.6995;835.36
938;0;0;90.7915;831.37
939;0;0.0007;37.455;834.83
940;0;0.0007;19.6468;814.19
941;0;0.0008;23.2135;792.53
942;0;0.001;38.3076;800.45
943;0;0.001;62.0387;794.98
944;0;0.001;74.5916;810.71
945;0;0.001;63.8734;812.07
946;0;0.001;60.2394;813.22
947;0;0.001;54.8858;815.4
948;0;0.0007;43.8531;819.22
949;0;0.0007;44.9466;814.54
950;0;0.0005;45.2441;811.83
951;0;0;35.0814;824.24
952;0;0;39.7262;806.12
953;0;0;39.7315;793.58
954;0;0;30.7117;788.25
955;0;0;35.1977;775.73
956;0;0;38.2422;787.68
957;0;0;25.2971;797.1
958;0;0;16.8457;793.29
959;0;0;18.8636;794.56
960;0;0;22.2686;791.73
961;0;0;22.7865;789.71
962;0;0;21.994;789.86
963;0;0;17.0149;783.19
964;0;0;13.6408;777.14
965;0;0;13.8733;777.39
966;0;0;13.8947;775.58
967;0;0;10.022;777.9
968;0;0;4.7701;780.53
969;0;0;2.6515;778.84
970;0;0;2.4341;778.99
971;0;0;2.4407;776.75
972;0;0;2.963;775.87
973;0;0;3.9443;770.73
974;0;0;5.4726;764.84
975;0;0;6.4638;764.05
976;0;0;5.6579;758.32
977;0;0;3.952;762.03
978;0;0;3.468;760.86
979;0;0;3.4419;761.07
980;0;0;2.335;761.75
981;0;0;1.5695;765.34
982;0;0;1.6611;761.7
983;0;0;1.3411;761.69
984;0;0;0.8187;757.6
985;0;0;0.501;754.76
986;0;0;0.2745;753.2
987;0;0;0.1722;754.47
988;0;0;0.1461;749.07
989;0;0;0.1376;744.26
990;0;0;0.1241;744.09
991;0;0.0007;0.0817;740.41
992;0;0.0007;0.0676;743.66
993;0;0;0.0627;747.23
994;0;0;0.0334;743.84
995;0;0;0.0183;743
996;0;0;0.0186;741.1
997;0;0;0.0283;739.52
998;0;0;0.0416;738.14
999;0;0;0.0472;736.66
1000;0;0;0.0431;735.37
